,latitud,longitud,calle,accesibilidad
58,41.38578227258059,2.170133111874377,plaza de cataluña,media (multitud)
59,41.40428962048236,2.1747251038993123,carrer de la marina,media (multitud)
60,41.40367557232465,2.173502600843077,calle provenza,media (multitud)
61,41.40314773799995,2.173678226182838,carrer de sardenya,media (multitud)
62,41.37834717777296,2.1909506845367703,carrer de guitert,no
63,41.379067468614195,2.1905928779328945,carrer de guitert,no
64,41.378980679182725,2.1885425620233168,carrer de sant carles,media
65,41.379422385097364,2.1906018647463945,carrer de sant carles,media
66,41.37610769516304,2.189381016934757,carrer del mar,no
67,41.37685187129236,2.1890911696819555,carrer del mar,no
68,41.377540536708494,2.1888295230021955,carrer del mar,no
69,41.37767466458015,2.1887741088271637,carrer del mar,no
70,41.378531988061866,2.188421626622518,carrer del mar,no
71,41.376144246030805,2.1895748365105874,carrer de sant elm,no
72,41.376812443081306,2.189290735276179,carrer de sant elm,no
73,41.3776295469818,2.1889745491495365,carrer de sant elm,no
74,41.37608347775646,2.189799918002144,carrer de san miquel,no
75,41.37692629658945,2.1894570506792257,carrer de san miquel,no
76,41.37775476293153,2.1891146424164805,carrer de san miquel,no
77,41.3762077376755,2.18993219917208,carrer dels pescadors,no
78,41.37704344556845,2.1899786965139367,carrer de sevilla,no
79,41.377761828084,2.1894948726701147,carrer del comte de santa clara,no
80,41.37782708775044,2.189654921026973,carrer de sevilla,no
81,41.37782306246847,2.189858768908831,carrer del baluard,no
82,41.377158713902624,2.1901301579385044,carrer del baluard,no
83,41.377030019899365,2.190354975743492,carrer de la mestrança,no
84,41.37723738128829,2.1906480088987865,carrer de pontevedra,no
85,41.377908183397544,2.190007546306474,carrer de la mestrança,no
86,41.37797864249044,2.1903416015644397,carrer de pontevedra,no
87,41.37804303471715,2.1905092610778514,carrer de l'atlantida,no
88,41.37809672707233,2.1906770417609502,carrer de vinaros,no
89,41.378160622272134,2.1908271787720004,carrer de grau i torras,no
90,41.378161478079605,2.191014695545393,carrer de guitert,no
91,41.37906952143935,2.19083316794375,carrer de la vila joiosa,no
92,41.379158728576805,2.1910137158219984,carrer d'alcanar,no
93,41.37918101005296,2.191219832115675,carrer del dr fine i partagas,no
94,41.38019238852755,2.191938533097434,carrer de berenguer mallol,no
95,41.380172274320536,2.1917299582505043,carrer de soria,no
96,41.380103439149764,2.1915915589097437,carrer de l'almirall barcelo,no
97,41.380094841369186,2.1913878522085617,carrer de santa lluisa de marillac,no
98,41.38004994182818,2.191247803844689,carrer de la proclamacio,no
99,41.38000157920559,2.1910705777309265,carrer de salamanca,no
100,41.37996310617386,2.190879054297177,carrer del dr.gine i partagas,no
101,41.379886330414244,2.1907474401249867,carrer d'alcanar,no
