FID,CODI_ACCES,NOM_ACCES,CODI_GRUP_ESTACIO,NOM_ESTACIO,ID_TIPUS_ACCESSIBILITAT,NOM_TIPUS_ACCESSIBILITAT,NUM_ASCENSORS,DATA,GEOMETRY
ACCESSOS.12701,12701,Plaça Urquinaona,6660127,Urquinaona,3,No accessible,0,2021-07-21,POINT (2.1733986182835814 41.38935757847438)
ACCESSOS.12711,12711,Trafalgar,6660127,Urquinaona,3,No accessible,0,2021-07-21,POINT (2.1738287439632833 41.38909099799673)
ACCESSOS.12721,12721,Bruc,6660127,Urquinaona,3,No accessible,0,2021-07-21,POINT (2.174994976968411 41.389927924821095)
ACCESSOS.42401,42401,Plaça Urquinaona,6660127,Urquinaona,3,No accessible,0,2021-07-21,POINT (2.172765383459695 41.388811796430126)
ACCESSOS.42411,42411,Jonqueres,6660127,Urquinaona,3,No accessible,0,2021-07-21,POINT (2.1742838020645 41.38760514728923)
ACCESSOS.12801,12801,Avda. Vilanova,6660128,Arc de Triomf,1,Accessible,1,2021-07-21,POINT (2.180570656025173 41.39185329732535)
ACCESSOS.12811,12811,Nàpols,6660128,Arc de Triomf,1,Accessible,0,2021-07-21,POINT (2.181915086660581 41.39296784447241)
ACCESSOS.12812,12812,Roger de Flor,6660128,Arc de Triomf,3,No accessible,0,2021-07-21,POINT (2.1813300100196997 41.39247743368641)
ACCESSOS.12901,12901,L'Auditori,6660129,Marina,1,Accessible,1,2021-07-21,POINT (2.1866383243772467 41.39561404046055)
ACCESSOS.12902,12902,Almogàvers,6660129,Marina,3,No accessible,0,2021-07-21,POINT (2.187103834120818 41.39521096247457)
ACCESSOS.13001,13001,Plaça de les Glòries Catalanes,6660130,Glòries,3,No accessible,0,2021-07-21,POINT (2.1873364490578457 41.402828084268826)
ACCESSOS.13002,13002,Badajoz,6660130,Glòries,3,No accessible,0,2021-07-21,POINT (2.1883855867971405 41.40300733777843)
ACCESSOS.13011,13011,Avda. Meridiana,6660130,Glòries,1,Accessible,1,2021-07-21,POINT (2.1871213205903213 41.401979986538464)
ACCESSOS.13101,13101,Aragó / Meridiana,6660131,Clot,3,No accessible,0,2021-07-21,POINT (2.1872081499787943 41.40934812132808)
ACCESSOS.13111,13111,València,6660131,Clot,3,No accessible,0,2021-07-21,POINT (2.187422705862206 41.41088314318358)
ACCESSOS.21801,21801,Sibelius,6660131,Clot,1,Accessible,1,2021-07-21,POINT (2.1861690404598 41.410268040224246)
ACCESSOS.13201,13201,Navas de Tolosa,6660132,Navas,1,Accessible,1,2021-07-21,POINT (2.1871417879228954 41.415511612606714)
ACCESSOS.13211,13211,Biscaia,6660132,Navas,3,No accessible,0,2021-07-21,POINT (2.1871329496045457 41.416877066628814)
ACCESSOS.13301,13301,Meridiana | Hondures,6660133,La Sagrera,1,Accessible,1,2021-07-21,POINT (2.187117853085126 41.42176611115489)
ACCESSOS.13302,13302,Garcilaso,6660133,La Sagrera,1,Accessible,1,2021-07-21,POINT (2.1865739201029823 41.42182682636695)
ACCESSOS.13303,13303,Hondures,6660133,La Sagrera,1,Accessible,0,2021-07-21,POINT (2.187446534149989 41.42174792109557)
ACCESSOS.13311,13311,Jardins d'Elx,6660133,La Sagrera,1,Accessible,1,2021-07-21,POINT (2.1874417965337414 41.423033272163075)
ACCESSOS.52611,52611,Felip II,6660133,La Sagrera,1,Accessible,1,2021-07-21,POINT (2.1865610859171887 41.42041075156976)
ACCESSOS.13401,13401,Passeig Fabra i Puig,6660134,Fabra i Puig,3,No accessible,0,2021-07-21,POINT (2.18351335010188 41.4304784177903)
ACCESSOS.13402,13402,Sòcrates,6660134,Fabra i Puig,3,No accessible,0,2021-07-21,POINT (2.1832748715423858 41.43148910175703)
ACCESSOS.13403,13403,Avinguda Meridiana,6660134,Fabra i Puig,3,No accessible,0,2021-07-21,POINT (2.183655433036917 41.429984636459956)
ACCESSOS.13404,13404,Renfe,6660134,Fabra i Puig,3,No accessible,0,2021-07-21,POINT (2.1833398667251367 41.43082156962489)
ACCESSOS.13411,13411,Concepción Arenal,6660134,Fabra i Puig,1,Accessible,1,2021-07-21,POINT (2.184201299624314 41.42896462726837)
ACCESSOS.13501,13501,Plaça d'Orfila,6660135,Sant Andreu,1,Accessible,1,2021-07-21,POINT (2.190873765898556 41.43588672605516)
ACCESSOS.13511,13511,Joan Torras,6660135,Sant Andreu,3,No accessible,0,2021-07-21,POINT (2.1910175753578263 41.43745369125781)
ACCESSOS.13601,13601,Palomar / costat muntanya,6660136,Torras i Bages,3,No accessible,0,2021-07-21,POINT (2.190662596017063 41.442393736107526)
ACCESSOS.13602,13602,Palomar / costat mar,6660136,Torras i Bages,1,Accessible,1,2021-07-21,POINT (2.1909293023009755 41.4424072302466)
ACCESSOS.13611,13611,Passeig Santa Coloma / costat muntanya,6660136,Torras i Bages,3,No accessible,0,2021-07-21,POINT (2.190546878125522 41.44408056602411)
ACCESSOS.13612,13612,Passeig Santa Coloma / costat mar,6660136,Torras i Bages,3,No accessible,0,2021-07-21,POINT (2.190810532206315 41.44408879665878)
ACCESSOS.13701,13701,Via Bàrcino,6660137,Trinitat Vella,3,No accessible,0,2021-07-21,POINT (2.1939173246714603 41.448690332512435)
ACCESSOS.13702,13702,Parc de la Trinitat,6660137,Trinitat Vella,1,Accessible,1,2021-07-21,POINT (2.194062647218165 41.44893359585285)
ACCESSOS.13801,13801,Riu Besòs,6660138,Baró de Viver,1,Accessible,1,2021-07-21,POINT (2.1998241820720037 41.44973950590627)
ACCESSOS.13901,13901,Plaça de la Vila,6660139,Santa Coloma,1,Accessible,1,2021-07-21,POINT (2.2084606294640863 41.45122240858729)
ACCESSOS.13902,13902,Llorenç Serra,6660139,Santa Coloma,3,No accessible,0,2021-07-21,POINT (2.2078374171132116 41.4511471526414)
ACCESSOS.13903,13903,Avinguda Santa Coloma,6660139,Santa Coloma,3,No accessible,0,2021-07-21,POINT (2.2078553804318113 41.4509645333913)
ACCESSOS.14001,14001,Sicília,6660140,Fondo,3,No accessible,0,2021-07-21,POINT (2.2173919011341563 41.451496032150686)
ACCESSOS.14002,14002,Mossèn Cinto Verdaguer,6660140,Fondo,1,Accessible,1,2021-07-21,POINT (2.2185335547374057 41.45149940926402)
ACCESSOS.21001,21001,Nou de la Rambla,6660210,Paral·lel,3,No accessible,0,2021-07-21,POINT (2.1703902635466403 41.37506374715856)
ACCESSOS.21002,21002,Avinguda Paral·lel,6660210,Paral·lel,1,Accessible,1,2021-07-21,POINT (2.1702476168469103 41.37481578673022)
ACCESSOS.21011,21011,Fontrodona,6660210,Paral·lel,3,No accessible,0,2021-07-21,POINT (2.1678151034838202 41.37482729303362)
ACCESSOS.21012,21012,Ronda Sant Pau,6660210,Paral·lel,3,No accessible,0,2021-07-21,POINT (2.168132929026759 41.37508847498623)
ACCESSOS.21101,21101,Villarroel,6660211,Sant Antoni,1,Accessible,1,2021-07-21,POINT (2.1632448846404166 41.380656118874064)
ACCESSOS.21111,21111,Sant Antoni Abat,6660211,Sant Antoni,3,No accessible,0,2021-07-21,POINT (2.163249157955619 41.378989134990796)
ACCESSOS.21112,21112,Urgell,6660211,Sant Antoni,3,No accessible,0,2021-07-21,POINT (2.163017438116344 41.37898743307027)
ACCESSOS.21301,21301,Rbla. Catalunya,6660213,Passeig de Gràcia,1,Accessible,1,2021-07-21,POINT (2.167613968626813 41.3889235878422)
ACCESSOS.21311,21311,Pau Claris,6660213,Passeig de Gràcia,3,No accessible,0,2021-07-21,POINT (2.168787438856731 41.38967781463345)
ACCESSOS.32701,32701,Aragó / Pau Claris,6660213,Passeig de Gràcia,1,Accessible,1,2021-07-21,POINT (2.165424467978146 41.39199999384237)
ACCESSOS.32702,32702,Aragó / Rambla Catalunya,6660213,Passeig de Gràcia,3,No accessible,0,2021-07-21,POINT (2.165009231431743 41.39183603741427)
ACCESSOS.32711,32711,Consell de Cent,6660213,Passeig de Gràcia,3,No accessible,0,2021-07-21,POINT (2.165492580469699 41.39152884500981)
ACCESSOS.42501,42501,Passeig de Gràcia / Gran Via,6660213,Passeig de Gràcia,3,No accessible,0,2021-07-21,POINT (2.167630730892553 41.389766857787336)
ACCESSOS.21401,21401,Diputació / Passeig de Sant Joan,6660214,Tetuan,3,No accessible,0,2021-07-21,POINT (2.1747806267172773 41.3948373768045)
ACCESSOS.21402,21402,Casp / Passeig de Sant Joan,6660214,Tetuan,1,Accessible,1,2021-07-21,POINT (2.1754294270341212 41.39431845374224)
