FID,CODI_ACCES,NOM_ACCES,CODI_GRUP_ESTACIO,NOM_ESTACIO,ID_TIPUS_ACCESSIBILITAT,NOM_TIPUS_ACCESSIBILITAT,NUM_ASCENSORS,DATA,GEOMETRY
ACCESSOS.33201,33201,Avinguda Vallcarca,6660332,Penitents,3,No accessible,0,2021-07-21,POINT (2.1412754448802342 41.417503317458795)
ACCESSOS.33202,33202,Anna Piferrer,6660332,Penitents,1,Accessible,1,2021-07-21,POINT (2.1409546293562167 41.4173874031846)
ACCESSOS.33301,33301,Mercat de Vall d'Hebron,6660333,Vall d'Hebron,1,Accessible,1,2021-07-21,POINT (2.1429640450408893 41.424867681813545)
ACCESSOS.53401,53401,Residència Sanitària,6660333,Vall d'Hebron,1,Accessible,1,2021-07-21,POINT (2.142156703324202 41.425372374065084)
ACCESSOS.53402,53402,Avinguda Jordà,6660333,Vall d'Hebron,3,No accessible,0,2021-07-21,POINT (2.141713655986979 41.42467469635589)
ACCESSOS.33402,33402,Residència Sanitària / Llars Mundet,6660334,Montbau,1,Accessible,1,2021-07-21,POINT (2.1445523923106977 41.43041822207714)
ACCESSOS.33403,33403,Palau  Olímpic Vall d'Hebron,6660334,Montbau,1,Accessible,0,2021-07-21,POINT (2.1454845839158647 41.430503617511576)
ACCESSOS.33501,33501,Can Marcet,6660335,Mundet,1,Accessible,0,2021-07-21,POINT (2.1480892234435918 41.43495279987751)
ACCESSOS.33502,33502,Salesians,6660335,Mundet,1,Accessible,0,2021-07-21,POINT (2.1484250021996574 41.435343747976944)
ACCESSOS.33503,33503,Passeig Vall d'Hebron,6660335,Mundet,1,Accessible,1,2021-07-21,POINT (2.1472279054339625 41.43553737456102)
ACCESSOS.33601,33601,Passeig Valldaura,6660336,Valldaura,1,Accessible,1,2021-07-21,POINT (2.156426119299251 41.43762092298766)
ACCESSOS.33701,33701,Via Favència,6660337,Canyelles,1,Accessible,1,2021-07-21,POINT (2.166593311352566 41.44193270077403)
ACCESSOS.33711,33711,García Lorca,6660337,Canyelles,3,No accessible,0,2021-07-21,POINT (2.1651883230251405 41.441694633488886)
ACCESSOS.33801,33801,Vidal i Guasch,6660338,Roquetes,1,Accessible,1,2021-07-21,POINT (2.1770662586806546 41.44809123519064)
ACCESSOS.33811,33811,Jaume Pinent,6660338,Roquetes,1,Accessible,1,2021-07-21,POINT (2.1748775158004037 41.446849144353656)
ACCESSOS.33812,33812,Carrer de les Torres,6660338,Roquetes,3,No accessible,0,2021-07-21,POINT (2.1760808609839555 41.44692796636725)
ACCESSOS.33901,33901,Palamós,6660339,Trinitat Nova,1,Accessible,0,2021-07-21,POINT (2.1843473021666466 41.44942083503193)
ACCESSOS.43401,43401,Pedrosa,6660339,Trinitat Nova,1,Accessible,0,2021-07-21,POINT (2.1832876951287985 41.44920925074595)
ACCESSOS.43402,43402,Aiguablava,6660339,Trinitat Nova,3,No accessible,0,2021-07-21,POINT (2.181713598014566 41.4486587084232)
ACCESSOS.41401,41401,Gran Via de les Corts Catalanes,6660414,Besòs,3,No accessible,0,2021-07-21,POINT (2.2102828419801326 41.42034012902514)
ACCESSOS.41402,41402,Tram Besòs,6660414,Besòs,1,Accessible,1,2021-07-21,POINT (2.2098483543534213 41.42026437685945)
