,latitud,longitud,calle
0,41.391865540769146,2.180616749175644,arc de triomf
1,41.3916097164967,2.1805926564187645,av de vilanova
2,41.39134832978139,2.1802775972880757,parque
3,41.39057471404058,2.1812561116761664,parque
4,41.39031667342777,2.180880756607018,passeig de lluis companys
5,41.38992268553349,2.1813970246997743,passeig de lluis companys
6,41.389672383100965,2.1813350924934634,carrer del comerç
7,41.38891419534939,2.181486233620534,carrer del comerç
8,41.38886260046384,2.1813990140274355,carrer del comerç
9,41.38665607698742,2.182144823428295,carrer del comerç
10,41.3844336328676,2.1849172490104483,av del marques de l'argentera
11,41.38322082446815,2.183921890003952,av del marques de l'argentera
12,41.38305347830762,2.1838877018010123,pla de palau
13,41.38225980279711,2.185644792678837,pla de palau
14,41.38188537356128,2.186618832828151,paseo juan de borbon
15,41.37799734300935,2.1881997098915322,paseo juan de borbon
16,41.37892556634381,2.1921647561779274,pepe rubianes
17,41.37838500386411,2.192477100340261,playa de la Barceloneta
